Scorer,Passer,Time,Current Team Score,Current Opponent Score,In Rotation,Own Goal,Punish,Bump Assist
Squishy,Gimmick,1:56,0,2,False,True,False,
Torment,Squishy,1:40,1,2,True,False,True,
Squishy,Torment,1:00,2,2,True,False,False,
Torment,,0:49,3,2,False,True,False,
Torment,Squishy,0:41,4,2,True,False,False,
Squishy,Gimmick,3:57,0,0,True,False,False,
Gimmick,Squishy,1:05,1,0,True,False,False,
Squishy,,0:41,2,0,False,False,False,
Squishy,,2:59,0,0,False,False,True,
Gimmick,Squishy,0:37,2,1,True,False,False,
Torment,,1:29,1,0,True,False,False,
Jknaps,,1:59,0,0,False,False,True,
Kronovi,,2:58,0,0,True,False,True,
Kronovi,Jknaps,2:05,1,0,False,False,False,
Jknaps,,1:29,2,0,False,False,True,
Kronovi,Jknaps,1:19,3,0,True,False,True,
Kronovi,Jknaps,4:42,0,0,True,False,False,
Jknaps,,3:37,1,0,False,False,True,
Rizzo,,1:22,2,1,False,False,True,
GarrettG,,4:31,0,0,True,False,False,JSTN
GarrettG,JSTN,3:47,1,0,True,False,False,
Fireburner,JSTN,3:33,2,0,True,False,False,
Fireburner,GarrettG,1:07,3,0,True,False,False,
GarrettG,Fireburner,0:28,4,0,True,False,False,
JSTN,,4:34,0,0,False,False,False,
JSTN,GarrettG,3:15,1,1,False,False,False,
GarrettG,Fireburner,1:34,0,0,False,False,False,
Fireburner,JSTN,1:00,0,1,True,False,False,
GarrettG,JSTN,0:29,1,1,True,False,False,
